15
1,7,11.0
1,8,11.0
1,11,12.0
1,13,13.0
1,14,11.0
2,4,3.0
2,13,9.0
3,6,11.0
4,7,1.0
4,12,14.0
4,14,7.0
5,1,9.0
5,2,2.0
5,3,4.0
5,4,2.0
5,8,12.0
5,10,11.0
6,1,4.0
6,4,8.0
6,9,14.0
6,11,14.0
6,13,4.0
6,14,5.0
7,3,5.0
7,5,8.0
7,8,9.0
7,11,12.0
8,3,8.0
8,5,5.0
8,7,13.0
8,10,9.0
9,4,5.0
9,8,11.0
9,11,1.0
10,4,11.0
10,9,5.0
10,11,4.0
11,1,13.0
11,2,3.0
11,5,11.0
11,7,2.0
11,13,12.0
12,1,3.0
12,4,9.0
12,8,1.0
12,9,11.0
12,15,11.0
13,2,10.0
13,6,2.0
13,7,1.0
13,10,13.0
13,11,1.0
14,2,8.0
14,3,4.0
14,4,13.0
14,7,6.0
14,9,14.0
14,10,3.0
14,12,7.0
15,5,2.0
15,12,7.0
