20
1,2,10.0
1,7,5.0
2,1,10.0
2,7,10.0
2,16,11.0
2,18,12.0
3,5,5.0
3,10,13.0
3,11,13.0
3,13,4.0
3,17,13.0
4,16,8.0
5,3,5.0
5,8,11.0
5,10,2.0
5,12,2.0
5,13,3.0
6,15,12.0
6,16,11.0
6,18,14.0
7,1,5.0
7,2,10.0
7,11,4.0
7,17,2.0
7,19,13.0
8,5,11.0
8,12,10.0
8,13,6.0
9,11,8.0
9,14,2.0
9,20,9.0
10,3,13.0
10,5,2.0
10,11,11.0
10,12,9.0
11,3,13.0
11,7,4.0
11,9,8.0
11,10,11.0
11,17,12.0
11,19,12.0
12,5,2.0
12,8,10.0
12,10,9.0
13,3,4.0
13,5,3.0
13,8,6.0
13,20,2.0
14,9,2.0
14,16,1.0
14,19,5.0
15,6,12.0
15,18,2.0
15,20,5.0
16,2,11.0
16,4,8.0
16,6,11.0
16,14,1.0
17,3,13.0
17,7,2.0
17,11,12.0
17,18,3.0
18,2,12.0
18,6,14.0
18,15,2.0
18,17,3.0
19,7,13.0
19,11,12.0
19,14,5.0
20,9,9.0
20,13,2.0
20,15,5.0
